Date,Machine_ID,Machine_Type,Production_Line,Install_Date,Last_Maintenance_Date,Avg_Error_Count_Monthly,Avg_Lifetime_Years,Plant_Number,Plant_Address
2020-01-31,Machine_1000,CNC,Line_4,2018-01-21,2019-04-09,10,8,PL-123,"Suzhou, China"
2020-01-31,Machine_1001,Lathe,Line_2,2016-02-17,2019-09-25,12,17,PL-123,"Suzhou, China"
2020-01-31,Machine_1002,Lathe,Line_2,2017-11-22,2019-06-08,8,14,PL-123,"Suzhou, China"
2020-01-31,Machine_1003,3D Printer,Line_4,2015-10-19,2019-03-16,4,9,PL-123,"Suzhou, China"
2020-01-31,Machine_1004,Milling,Line_2,2018-01-17,2019-06-06,4,18,PL-123,"Suzhou, China"
2020-01-31,Machine_1005,Lathe,Line_4,2017-04-10,2019-09-15,12,13,PL-123,"Suzhou, China"
2020-01-31,Machine_1006,Milling,Line_1,2018-12-17,2019-11-26,11,15,PL-123,"Suzhou, China"
2020-01-31,Machine_1007,Drilling,Line_4,2016-10-22,2019-09-25,4,11,PL-123,"Suzhou, China"
2020-01-31,Machine_1008,CNC,Line_1,2015-08-06,2019-07-30,5,6,PL-123,"Suzhou, China"
2020-01-31,Machine_1009,3D Printer,Line_2,2018-02-05,2019-06-24,1,15,PL-123,"Suzhou, China"
2020-01-31,Machine_1010,Milling,Line_4,2017-10-21,2019-04-10,5,5,PL-123,"Suzhou, China"
2020-01-31,Machine_1011,Lathe,Line_2,2016-10-14,2019-06-17,13,6,PL-123,"Suzhou, China"
2020-01-31,Machine_1012,Milling,Line_4,2019-02-26,2019-04-27,10,7,PL-123,"Suzhou, China"
2020-01-31,Machine_1013,Lathe,Line_1,2019-05-21,2019-06-10,3,15,PL-123,"Suzhou, China"
2020-01-31,Machine_1014,Milling,Line_1,2018-05-20,2019-03-01,7,6,PL-123,"Suzhou, China"
2020-01-31,Machine_1015,Lathe,Line_4,2015-07-14,2019-07-11,12,15,PL-123,"Suzhou, China"
2020-01-31,Machine_1016,Drilling,Line_1,2017-02-06,2019-02-19,10,7,PL-123,"Suzhou, China"
2020-01-31,Machine_1017,Lathe,Line_2,2017-01-27,2019-03-27,8,14,PL-123,"Suzhou, China"
2020-01-31,Machine_1018,Lathe,Line_2,2018-02-20,2019-12-15,8,19,PL-123,"Suzhou, China"
2020-01-31,Machine_1019,CNC,Line_3,2017-08-08,2019-11-15,7,15,PL-123,"Suzhou, China"
2020-01-31,Machine_1020,Lathe,Line_1,2019-01-09,2019-08-31,2,15,PL-123,"Suzhou, China"
2020-01-31,Machine_1021,CNC,Line_2,2016-05-30,2019-01-18,9,19,PL-123,"Suzhou, China"
2020-01-31,Machine_1022,3D Printer,Line_4,2019-02-06,2019-10-28,10,16,PL-123,"Suzhou, China"
2020-01-31,Machine_1023,CNC,Line_1,2019-03-19,2019-08-07,10,18,PL-123,"Suzhou, China"
2020-01-31,Machine_1024,Drilling,Line_2,2015-10-16,2019-09-12,3,16,PL-123,"Suzhou, China"
2020-01-31,Machine_1025,CNC,Line_1,2019-09-14,2019-01-23,0,13,PL-123,"Suzhou, China"
2020-01-31,Machine_1026,3D Printer,Line_4,2016-08-12,2019-06-29,8,8,PL-123,"Suzhou, China"
2020-01-31,Machine_1027,Drilling,Line_2,2016-09-19,2019-07-07,4,16,PL-123,"Suzhou, China"
2020-01-31,Machine_1028,Milling,Line_3,2017-11-17,2019-01-18,5,13,PL-123,"Suzhou, China"
2020-01-31,Machine_1029,Milling,Line_3,2018-05-10,2019-03-12,2,15,PL-123,"Suzhou, China"
2020-01-31,Machine_1030,CNC,Line_1,2019-07-01,2019-04-06,10,7,PL-123,"Suzhou, China"
2020-01-31,Machine_1031,CNC,Line_4,2019-08-06,2019-05-14,9,16,PL-123,"Suzhou, China"
2020-01-31,Machine_1032,3D Printer,Line_2,2015-07-28,2019-06-07,7,5,PL-123,"Suzhou, China"
2020-01-31,Machine_1033,3D Printer,Line_4,2017-06-08,2019-05-26,14,15,PL-123,"Suzhou, China"
2020-01-31,Machine_1034,Lathe,Line_2,2016-12-20,2019-03-11,6,9,PL-123,"Suzhou, China"
2020-01-31,Machine_1035,3D Printer,Line_1,2017-11-04,2019-06-26,0,14,PL-123,"Suzhou, China"
2020-01-31,Machine_1036,Lathe,Line_2,2018-09-02,2019-04-17,9,14,PL-123,"Suzhou, China"
2020-01-31,Machine_1037,Drilling,Line_4,2017-01-27,2019-05-06,11,18,PL-123,"Suzhou, China"
2020-01-31,Machine_1038,CNC,Line_4,2015-11-11,2019-11-30,4,6,PL-123,"Suzhou, China"
2020-01-31,Machine_1039,Drilling,Line_1,2016-12-22,2019-11-05,9,8,PL-123,"Suzhou, China"
2020-01-31,Machine_1040,3D Printer,Line_4,2019-02-18,2019-09-05,8,6,PL-123,"Suzhou, China"
2020-01-31,Machine_1041,Drilling,Line_2,2015-01-03,2019-03-02,11,6,PL-123,"Suzhou, China"
2020-01-31,Machine_1042,Drilling,Line_1,2016-12-23,2019-12-17,10,17,PL-123,"Suzhou, China"
2020-01-31,Machine_1043,Drilling,Line_2,2015-12-24,2019-11-15,11,7,PL-123,"Suzhou, China"
2020-01-31,Machine_1044,3D Printer,Line_4,2016-04-18,2019-07-07,5,9,PL-123,"Suzhou, China"
2020-01-31,Machine_1045,Drilling,Line_1,2019-01-12,2019-03-15,7,8,PL-123,"Suzhou, China"
2020-01-31,Machine_1046,Lathe,Line_2,2019-01-31,2019-06-03,9,6,PL-123,"Suzhou, China"
2020-01-31,Machine_1047,3D Printer,Line_4,2016-11-08,2019-02-01,0,19,PL-123,"Suzhou, China"
2020-01-31,Machine_1048,Drilling,Line_4,2015-04-30,2019-02-13,9,15,PL-123,"Suzhou, China"
2020-01-31,Machine_1049,3D Printer,Line_3,2016-03-18,2019-03-25,10,18,PL-123,"Suzhou, China"
2020-02-29,Machine_1000,Milling,Line_4,2014-10-30,2019-04-23,6,18,PL-123,"Suzhou, China"
2020-02-29,Machine_1001,Lathe,Line_2,2018-12-27,2019-01-30,2,14,PL-123,"Suzhou, China"
2020-02-29,Machine_1002,Drilling,Line_1,2019-05-24,2019-11-06,8,6,PL-123,"Suzhou, China"
2020-02-29,Machine_1003,Milling,Line_3,2017-12-07,2019-04-18,5,18,PL-123,"Suzhou, China"
2020-02-29,Machine_1004,Milling,Line_4,2016-03-22,2019-10-05,4,10,PL-123,"Suzhou, China"
2020-02-29,Machine_1005,3D Printer,Line_4,2015-02-17,2019-09-04,7,11,PL-123,"Suzhou, China"
2020-02-29,Machine_1006,Milling,Line_4,2015-10-10,2019-12-10,7,16,PL-123,"Suzhou, China"
2020-02-29,Machine_1007,Lathe,Line_2,2019-01-08,2019-09-24,11,14,PL-123,"Suzhou, China"
2020-02-29,Machine_1008,Lathe,Line_3,2017-02-18,2019-01-15,11,10,PL-123,"Suzhou, China"
2020-02-29,Machine_1009,CNC,Line_2,2019-08-08,2019-01-09,2,11,PL-123,"Suzhou, China"
2020-02-29,Machine_1010,Lathe,Line_3,2017-05-14,2019-03-18,1,5,PL-123,"Suzhou, China"
2020-02-29,Machine_1011,Milling,Line_1,2018-04-17,2019-05-16,14,10,PL-123,"Suzhou, China"
2020-02-29,Machine_1012,Lathe,Line_2,2017-04-19,2019-10-11,1,15,PL-123,"Suzhou, China"
2020-02-29,Machine_1013,3D Printer,Line_2,2019-02-28,2019-05-03,13,7,PL-123,"Suzhou, China"
2020-02-29,Machine_1014,CNC,Line_1,2016-01-28,2019-04-07,4,5,PL-123,"Suzhou, China"
2020-02-29,Machine_1015,Milling,Line_3,2017-09-07,2019-09-01,9,12,PL-123,"Suzhou, China"
2020-02-29,Machine_1016,CNC,Line_4,2019-04-28,2019-11-07,11,8,PL-123,"Suzhou, China"
2020-02-29,Machine_1017,Milling,Line_1,2014-08-23,2019-03-24,6,14,PL-123,"Suzhou, China"
2020-02-29,Machine_1018,3D Printer,Line_4,2018-07-13,2019-11-10,7,12,PL-123,"Suzhou, China"
2020-02-29,Machine_1019,CNC,Line_4,2019-04-22,2019-05-29,9,14,PL-123,"Suzhou, China"
